Subject,Predicate,Object,New Entity
Gare d’Orsay / Musée d’Orsay,main topic of,Cultural heritage transformation project,✓
Gare d’Orsay / Musée d’Orsay,shows transformation from,transport infrastructure,✓
Gare d’Orsay / Musée d’Orsay,shows transformation into,cultural institution,✓
Gare d’Orsay / Musée d’Orsay,is an example of,adaptive reuse,✓
Gare d’Orsay / Musée d’Orsay,is a case of,cultural heritage transformation,✓
Gare d’Orsay / Musée d’Orsay,connects,architecture and museum heritage,✓
Gare d’Orsay,has original function,railway station,
Gare d’Orsay,designed by,Victor Laloux,
Gare d’Orsay,located in,Paris,
Gare d’Orsay,built between,1898 and 1900,
Gare d’Orsay,opened on,28 May 1900,
Gare d’Orsay,opened for,Exposition Universelle of 1900,
Exposition Universelle of 1900,took place in,Paris,✓
Gare d’Orsay,has architectural style,Beaux-Arts style,
Beaux-Arts style,represents,monumental architectural language,✓
Gare d’Orsay,represented,technological progress,✓
Gare d’Orsay,represented,architectural elegance,✓
Gare d’Orsay,became unsuitable for,modern railway traffic,✓
Gare d’Orsay,had platforms too short for,longer trains,✓
Gare d’Orsay,gradually lost,original function,✓
Gare d’Orsay,was used for,different purposes,✓
Gare d’Orsay,was threatened with,demolition,✓
Gare d’Orsay,preserved as,architectural heritage,✓
Gare d’Orsay,transformed into,Musée d’Orsay,
Musée d’Orsay,opened in,December 1986,
Musée d’Orsay,located in,Paris,
Musée d’Orsay,occupies former building of,Gare d’Orsay,
Musée d’Orsay,uses former train shed as,grand exhibition hall,✓
Musée d’Orsay,uses former railway hotel as,gallery spaces,✓
Musée d’Orsay,combines,old and new architectural identity,✓
Musée d’Orsay,makes architecture part of,visitor experience,✓
Musée d’Orsay,interior designed by,Gae Aulenti,
Gae Aulenti,adapted,railway hall into museum space,✓
Gae Aulenti,preserved memory of,original station,✓
Musée d’Orsay,transformation supported by,Georges Pompidou,✓
Musée d’Orsay,transformation supported by,Valéry Giscard d’Estaing,✓
Musée d’Orsay,architectural project awarded to,ACT architecture group,✓
ACT architecture group,led by,Pierre Colboc,✓
Musée d’Orsay,fills chronological gap between,Louvre Museum,✓
Musée d’Orsay,fills chronological gap between,National Museum of Modern Art,✓
National Museum of Modern Art,located at,Centre Pompidou,✓
Musée d’Orsay,connected to,Centre Pompidou,✓
Musée d’Orsay,specializes in,French art from 1848 to 1914,✓
Musée d’Orsay,associated with,Impressionism,
Musée d’Orsay,associated with,Post-Impressionism,
Impressionism,represented by,Claude Monet,✓
Post-Impressionism,represented by,Paul Gauguin,✓
Post-Impressionism,represented by,Vincent van Gogh,✓
Musée d’Orsay,holds,paintings,✓
Musée d’Orsay,holds,sculptures,✓
Musée d’Orsay,holds,furniture,✓
Musée d’Orsay,holds,photography,✓
Musée d’Orsay,holds,decorative arts,✓
Musée d’Orsay,houses works by,Claude Monet,
Musée d’Orsay,houses works by,Paul Gauguin,
Musée d’Orsay,houses works by,Vincent van Gogh,✓
Musée d’Orsay,houses works by,Édouard Manet,✓
Musée d’Orsay,houses works by,Edgar Degas,✓
Musée d’Orsay,houses works by,Pierre-Auguste Renoir,✓
Musée d’Orsay,houses works by,Paul Cézanne,✓
Musée d’Orsay,represented in,One Night in Orsay Museum,
One Night in Orsay Museum,directed by,Olivier Lemaire,
One Night in Orsay Museum,shows,museum at night,✓
One Night in Orsay Museum,reflects on,transformation from station to museum,✓
Musée d’Orsay,digitally accessible through,Virtual tour of the Musée d’Orsay,
Virtual tour of the Musée d’Orsay,provided by,Google Arts & Culture,
Google Arts & Culture,provides,online exploration of museum space,✓
Gare d’Orsay / Musée d’Orsay,shows transition from,industrial modernity to museum heritage,✓
Musée d’Orsay,referenced in,ICAMT Adaptive Reuse reference,✓
ICAMT Adaptive Reuse reference,cites as case study,Musée d’Orsay,
ICAMT Adaptive Reuse reference,highlights,adaptive reuse,
ICAMT Adaptive Reuse reference,published by,ARCHI-TECHS,✓
ARCHI-TECHS,full name,ICOM International Committee for Architecture and Museum Techniques,
adaptive reuse,protects,built heritage,✓
adaptive reuse,requires,innovative new use for existing structures,✓
adaptive reuse,defined as,reusing a site for a purpose other than its original design,✓
adaptive reuse,becomes necessary when,a building can no longer function with its original use,✓
adaptive reuse,preserves,heritage significance,✓
adaptive reuse,documented in,Wikipedia Adaptive reuse entry,✓
Wikipedia Adaptive reuse entry,published by,Wikimedia Foundation,✓
adaptive reuse,documented in,Adaptive Reuse of the Built Heritage (book),✓
Adaptive Reuse of the Built Heritage (book),authored by,Bie Plevoets and Koenraad Van Cleempoel,✓
